Platform,Instrument,Imagery_Layer,Imagery_Product_Name,Image_Resolution,Sensor_Resolution,Format,Projection
Terra & Aqua,CERES,"Surface UV Index (Monthly, All-Sky) ",CERES_Combined_Surface_UV_Index_All_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"Incoming Solar Flux (Monthly, Energy Balanced and Filled) ",CERES_EBAF_TOA_Incoming_Solar_Flux_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"TOA CRE Longwave Flux (Monthly, Energy Balanced and Filled) ",CERES_EBAF_TOA_CRE_Longwave_Flux_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"TOA CRE Net Flux (Monthly, Energy Balanced and Filled) ",CERES_EBAF_TOA_CRE_Net_Flux_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"TOA CRE Shortwave Flux (Monthly, Energy Balanced and Filled) ",CERES_EBAF_TOA_CRE_Shortwave_Flux_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"TOA Longwave Flux (Monthly, Energy Balanced and Filled, Clear-Sky) ",CERES_EBAF_TOA_Longwave_Flux_Clear_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"TOA Longwave Flux (Monthly, Energy Balanced and Filled, All-Sky) ",CERES_EBAF_TOA_Longwave_Flux_All_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"TOA Net Flux (Monthly, Energy Balanced and Filled, All-Sky)  ",CERES_EBAF_TOA_Net_Flux_All_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"TOA Net Flux (Monthly, Energy Balanced and Filled, Clear-Sky) ",CERES_EBAF_TOA_Net_Flux_Clear_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"TOA Shortwave Flux (Monthly, Energy Balanced and Filled, All-Sky)",CERES_EBAF_TOA_Shortwave_Flux_All_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"TOA Shortwave Flux (Monthly, Energy Balanced and Filled, Clear-Sky) ",CERES_EBAF_TOA_Shortwave_Flux_Clear_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"TOA Longwave Flux (Monthly, Clear-Sky)",CERES_Terra_TOA_Longwave_Flux_Clear_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"TOA Longwave Flux (Monthly, All-Sky) ",CERES_Terra_TOA_Longwave_Flux_All_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"TOA Shortwave Flux (Monthly, Clear-Sky) ",CERES_Terra_TOA_Shortwave_Flux_Clear_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"TOA Shortwave Flux (Monthly, All-Sky) ", CERES_Terra_TOA_Shortwave_Flux_All_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"TOA Window-Region Flux (Monthly, Clear-Sky) ", CERES_Terra_TOA_Window_Region_Flux_Clear_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra,CERES,"TOA Window-Region Flux (Monthly, All-Sky)  ",CERES_Terra_TOA_Window_Region_Flux_All_Sky_Monthly ,2km,1 degree,png,"Geographic, Web Mercator"
Terra & Aqua,CERES,"TOA Longwave Flux (Monthly, Clear-Sky) ",CERES_Combined_TOA_Longwave_Flux_Clear_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra & Aqua,CERES,"TOA Longwave Flux (Monthly, All-Sky) ",CERES_Combined_TOA_Longwave_Flux_All_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra & Aqua,CERES,"TOA Shortwave Flux (Monthly, Clear-Sky) ",CERES_Combined_TOA_Shortwave_Flux_Clear_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra & Aqua,CERES,"TOA Shortwave Flux (Monthly, All-Sky) ",CERES_Combined_TOA_Shortwave_Flux_All_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra & Aqua,CERES,"TOA Window-Region Flux (Monthly, Clear-Sky) ",CERES_Combined_TOA_Window_Region_Flux_Clear_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
Terra & Aqua,CERES,"TOA Window-Region Flux (Monthly, All-Sky) ",CERES_Combined_TOA_Window_Region_Flux_All_Sky_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
ISS,LIS,"ISS LIS Flash Count (Level 2, NRT)   ",2km,,png,"Geographic, Web Mercator",
ISS,LIS,"ISS LIS Flash Radiance (Level 2, NRT)   ",2km,,png,"Geographic, Web Mercator",
TRMM,LIS,Lightning Flashes (Raw) ,LIS_High_Resolution_Full_Climatology_LIS_Raw_Flashes,2km,0.5 degrees,png,"Geographic, Web Mercator"
TRMM,LIS,Lightning Flashes (Scaled) ,LIS_High_Resolution_Full_Climatology_LIS_Scaled_Flashes,2km,0.5 degrees,png,"Geographic, Web Mercator"
TRMM,LIS,Lightning Flash Rate ,LIS_High_Resolution_Full_Climatology_LIS_Flash_Rate_Climatology,2km,0.5 degrees,png,"Geographic, Web Mercator"
TRMM,LIS,Daily Mean Lightning Flash Rate , LIS_Very_High_Resolution_Lightning_Daily_Climatology_LIS_Mean_Flash_Rate ,2km,0.5 degrees,png,"Geographic, Web Mercator "
TRMM,LIS,Climatology Mean Lightning Flash Rate , LIS_Very_High_Resolution_Lightning_Full_Climatology_LIS_Mean_Flash_Rate ,2km,0.5 degrees,png,"Geographic, Web Mercator "
TRMM,LIS,Monthly Mean Lightning Flash Rate , LIS_Very_High_Resolution_Lightning_Monthly_Climatology_LIS_Mean_Flash_Rate ,2km,0.5 degrees,png,"Geographic, Web Mercator "
TRMM,LIS,Seasonal Mean Lightning Flash Rate , LIS_Very_High_Resolution_Lightning_Seasonal_Climatology_LIS_Mean_Flash_Rate ,2km,0.5 degrees,png,"Geographic, Web Mercator "
TRMM,LIS,"Flash Radiance (Level 2, Standard) ",LIS_TRMM_Flash_Radiance,2km,,png,"Geographic, Web Mercator"
OrbView-1,OTD,Lightning Flashes (Raw) , OTD_High_Resolution_Full_Climatology_OTD_Raw_Flashes ,2km,0.5 degrees,png,"Geographic, Web Mercator "
OrbView-1,OTD,Lightning Flashes (Scaled) , OTD_High_Resolution_Full_Climatology_OTD_Scaled_Flashes ,2km,0.5 degrees,png,"Geographic, Web Mercator "
OrbView-1,OTD,Lightning Flash Rate , OTD_High_Resolution_Full_Climatology_OTD_Flash_Rate_Climatology ,2km,0.5 degrees,png,"Geographic, Web Mercator "
OrbView-1 (Microlab-1),OTD,Calibrated Flash Radiance  ,OTD_OrbView1_Flash_Radiance,2km,,png,"Geographic, Web Mercator"
"TRMM, OrbView-1","LIS, OTD",Lightning Flash Rate (Combined) , LIS_High_Resolution_Full_Climatology_Combined_Flash_Rate_Climatology ,2km,0.5 degrees,png,"Geographic, Web Mercator "
DMSP F10,OLS,"Digital Derived Lightning (Level 3, Standard) ",OLS_DMSP_F10_Digital_Derived_Lightning,2km,,png,"Geographic, Web Mercator"
DMSP F12,OLS,"Digital Derived Lightning (Level 3, Standard) ",OLS_DMSP_F12_Digital_Derived_Lightning,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Methane (L2, 400 hPa, Day) ",AIRS_L2_Methane_400hPa_Volume_Mixing_Ratio_Day,2km,45km,png,"Geographic, Web Mercator"
Aqua,AIRS,"Methane (L2, 400 hPa, Night) ",AIRS_L2_Methane_400hPa_Volume_Mixing_Ratio_Night,2km,45km,png,"Geographic, Web Mercator"
Aqua,AIRS,"Methane (L3, 400 hPa, Day, Daily) ",AIRS_L3_Methane_400hPa_Volume_Mixing_Ratio_Daily_Day,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Methane (L3, 400 hPa, Night, Daily) ",AIRS_L3_Methane_400hPa_Volume_Mixing_Ratio_Daily_Night,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Methane (L3, 400 hPa, Day, Monthly) ",AIRS_L3_Methane_400hPa_Volume_Mixing_Ratio_Monthly_Day,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Methane (L3, 400 hPa, Night, Monthly) ",AIRS_L3_Methane_400hPa_Volume_Mixing_Ratio_Monthly_Night,2km,,png,"Geographic, Web Mercator"
Aura,MLS,MLS_HNO3_46hPa_Day,2km,5km,png,"Geographic, Web Mercator",
Aura,MLS,MLS_HNO3_46hPa_Night,2km,5km,png,"Geographic, Web Mercator",
Aura,OMI,Nitrogen Dioxide (Tropospheric Column) ,OMI_Nitrogen_Dioxide_Tropo_Column,2km, 0.25 degrees ,png,"Geographic, Web Mercator"
,"Global 3-Year Running Mean Ground-Level NO2 Grids from GOME, SCIAMACHY and GOME-2, v1 (1996-2012)","Ground-Level NO2, 1996-1998",Ground_Level_Nitrogen_Dioxide_3_Year_Running_Mean_1996-1998,10km,,png,"Geographic, Web Mercator"
,"Global 3-Year Running Mean Ground-Level NO2 Grids from GOME, SCIAMACHY and GOME-2, v1 (1996-2012)","Ground-Level NO2, 2010-2012 ",Ground_Level_Nitrogen_Dioxide_3_Year_Running_Mean_2010-2012,10km,,png,"Geographic, Web Mercator"
Aura,MLS,MLS_N2O_46hPa_Day,2km,5km,png,"Geographic, Web Mercator",
Aura,MLS,MLS_N2O_46hPa_Night,2km,5km,png,"Geographic, Web Mercator",
Suomi-NPP,OMPS,Ozone ,OMPS_Ozone_Total_Column,2km,50km,png,"Geographic, Web Mercator"
Aura,MLS,MLS_O3_46hPa_Day,2km,5km,png,"Geographic, Web Mercator",
Aura,MLS,MLS_O3_46hPa_Night,2km,5km,png,"Geographic, Web Mercator",
Aura,OMI,Ozone (DOAS) ,OMI_Ozone_DOAS_Total_Column,2km, 0.25 degrees ,png,"Geographic, Web Mercator"
Aura,OMI,Ozone (TOMS-Like) ,OMI_Ozone_TOMS_Total_Column,2km, 0.25 degrees ,png,"Geographic, Web Mercator"
,MERRA-2,Ozone Mixing Ratio at 50hPa (Monthly) ,MERRA2_Ozone_Mixing_Ratio_50hPa_Monthly,2km,,png,"Geographic, Web Mercator"
,"SDEI: Global Annual PM 2.5 Grids from MODIS, MISR and SeaWiFS Aerosol Optical Depth (AOD), v1 (1998-2012)","Particulate Matter < 2.5µm, 2001-2010 ",Particulate_Matter_Below_2.5micrometers_2001-2010,10km,png,"Geographic, Web Mercator",2001-2010
,"SDEI: Global Annual PM 2.5 Grids from MODIS, MISR and SeaWiFS Aerosol Optical Depth (AOD), v1 (1998-2012)","Particulate Matter < 2.5µm, 2010-2012 ",Particulate_Matter_Below_2.5micrometers_2010-2012,10km,png,"Geographic, Web Mercator",2010-2012
,IMERG,Precipitation Rate ,IMERG_Precipitation_Rate,2km,0.1 degree,png,"Geographic, Web Mercator"
Aqua,AIRS,Precipitation Estimate (Day)   ,AIRS_Precipitation_Day,2km,45km,png,"Geographic, Web Mercator"
Aqua,AIRS,Precipitation Estimate (Night)   ,AIRS_Precipitation_Night,2km,45km,png,"Geographic, Web Mercator"
GPM,GMI,Rain Rate (Ascending)  ,GMI_Rain_Rate_Asc,2km,4km,png,"Geographic, Web Mercator"
GPM,GMI,Rain Rate (Descending)  ,GMI_Rain_Rate_Dsc,2km,4km,png,"Geographic, Web Mercator"
GPM,GMI,Snow Rate (Ascending)  ,GMI_Snow_Rate_Asc,2km,4km,png,"Geographic, Web Mercator"
GPM,GMI,Snow Rate (Descending)  ,GMI_Snow_Rate_Dsc,2km,4km,png,"Geographic, Web Mercator"
GCOM-W1,AMSR2,"Surface Precipitation Rate (NRT, Day)   ",AMSR2_Surface_Precipitation_Rate_Day,2km,5km,png,"Geographic, Web Mercator"
GCOM-W1,AMSR2,"Surface Precipitation Rate (NRT, Night)   ",AMSR2_Surface_Precipitation_Rate_Night,2km,5km,png,"Geographic, Web Mercator"
GCOM-W1,AMSR2,Surface Precipitation (Day),AMSRU2_Surface_Precipitation_Day,2km,5km,png,"Geographic, Web Mercator"
GCOM-W1,AMSR2,Surface Precipitation (Night),AMSRU2_Surface_Precipitation_Night,2km,5km,png,"Geographic, Web Mercator"
GCOM-W1,AMSR2,"Surface Rain Rate (NRT, Day)   ",AMSR2_Surface_Rain_Rate_Day,2km,5km,png,"Geographic, Web Mercator"
GCOM-W1,AMSR2,"Surface Rain Rate (NRT, Night)   ",AMSR2_Surface_Rain_Rate_Night,2km,5km,png,"Geographic, Web Mercator"
,TRMM,Precipitation Rate (Ascending) ,2km,,png,"Geographic, Web Mercator",
,TRMM,Precipitation Rate (Descending) ,2km,,png,"Geographic, Web Mercator",
DMSP-F8,SSMI,"Rain Rate over Oceans (Ascending, Local AM)   ",SSMI_DMSP_F8_Rain_Rate_Over_Oceans_Ascending,2km,0.25 degrees,png,Geographic
DMSP-F8,SSMI," Rain Rate over Oceans (Descending, Local PM)    ", SSMI_DMSP_F8_Rain_Rate_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F10,SSMI," Rain Rate over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F10_Rain_Rate_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F10,SSMI," Rain Rate over Oceans (Descending, Local AM)    ", SSMI_DMSP_F8_Rain_Rate_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F11,SSMI," Rain Rate over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F11_Rain_Rate_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F11,SSMI," Rain Rate over Oceans (Descending, Local AM)    ", SSMI_DMSP_F11_Rain_Rate_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F13,SSMI," Rain Rate over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F13_Rain_Rate_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F13,SSMI," Rain Rateover Oceans (Descending, Local AM)    ", SSMI_DMSP_F13_Rain_Rate_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F14,SSMI," Rain Rate over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F14_Rain_Rate_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F14,SSMI," Rain Rate over Oceans (Descending, Local AM)    ", SSMI_DMSP_F14_Rain_Rate_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F15,SSMI," Rain Rate over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F15_Rain_Rate_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F15,SSMI," Rain Rate over Oceans (Descending, Local AM)    ", SSMI_DMSP_F15_Rain_Rate_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F16,SSMIS," Rain Rate over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F16_Rain_Rate_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F16,SSMIS," Rain Rate over Oceans (Descending, Local AM)    ", SSMI_DMSP_F16_Rain_Rate_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F17,SSMIS," Rain Rate over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F17_Rain_Rate_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F17,SSMIS," Rain Rate over Oceans (Descending, Local AM)    ", SSMI_DMSP_F17_Rain_Rate_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
,Merged Microwave Radiometers,"Precipitable Water over Ice-Free Oceans (Monthly, Average) ",RSS_Total_Precipitable_Water_Climatology_Monthly,2km,1 degree,png,Geographic
,NLDAS,"Precipitation Total (Monthly, Surface, Primary Forcing Data) ",NLDAS_Surface_Total_Precipitation_Primary_Monthly,2km, 1/8th-degree ,png,"Geographic, Web Mercator"
,NLDAS,"Precipitation Total (Monthly, Surface, Secondary Forcing Data) ",NLDAS_Surface_Total_Precipitation_Secondary_Monthly,2km, 1/8th-degree ,png,"Geographic, Web Mercator"
,GLDAS,"Total Precipitation Rate (Monthly, Surface, Noah LSM) ",GLDAS_Surface_Total_Precipitation_Rate_Monthly,2km,1 degree,png,"Geographic, Web Mercator"
,MERRA-2,Total Precipitation Bias Corrected (Monthly) ,2km,,png,"Geographic, Web Mercator",
,MERRA-2,Snowfall (Monthly) ,MERRA2_Snowfall_Monthly,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Relative Humidity (L2, 500 hPa, Day) ",AIRS_L2_RelativeHumidity_500hPa_Da,2 km,45 km,png,"Geographic, Web Mercator"
Aqua,AIRS,"Relative Humidity (L2, 500 hPa, Night) ",AIRS_L2_RelativeHumidity_500hPa_Night,2 km,45 km,png,"Geographic, Web Mercator"
Aqua,AIRS,"Relative Humidity (L2, 700 hPa, Day) ",AIRS_L2_RelativeHumidity_700hPa_Day,2 km,45 km,png,"Geographic, Web Mercator"
Aqua,AIRS,"Relative Humidity (L2, 700 hPa, Night) ",AIRS_L2_RelativeHumidity_700hPa_Night,2 km,45 km,png,"Geographic, Web Mercator"
Aqua,AIRS,"Relative Humidity (L2, 850 hPa, Day) ",AIRS_L2_RelativeHumidity_850hPa_Day,2 km,45 km,png,"Geographic, Web Mercator"
Aqua,AIRS,"Relative Humidity (L2, 850 hPa, Night) ",AIRS_L2_RelativeHumidity_850hPa_Night,2 km,45 km,png,"Geographic, Web Mercator"
Aqua,AIRS,"Surface Relative Humidity (L2, Day) ",AIRS_L2_Surface_Relative_Humidity_Day,2km,45 km,png,"Geographic, Web Mercator"
Aqua,AIRS,"Surface Relative Humidity (L2, Night) ",AIRS_L2_Surface_Relative_Humidity_Night,2km,45 km,png,"Geographic, Web Mercator"
Aqua,AIRS,"Surface Relative Humidity (Day, Daily) ",2 km,,png,"Geographic, Web Mercator",
Aqua,AIRS,"Surface Relative Humidity (Night, Daily) ",2 km,,png,"Geographic, Web Mercator",
Aqua,AIRS,"Surface Relative Humidity (Day, Monthly) ",2 km,,png,"Geographic, Web Mercator",
Aqua,AIRS,"Surface Relative Humidity (Night, Monthly) ",2 km,,png,"Geographic, Web Mercator",
Aqua,MERRA-2,Relative Humidity After Moist at 700hPa (Monthly) ,2 km,,png,"Geographic, Web Mercator",
Suomi-NPP,OMPS,Sulfur Dioxide (Planetary Boundary Layer) ,OMPS_SO2_Planetary_Boundary_Layer,2km,50km,png,"Geographic, Web Mercator"
Suomi-NPP,OMPS,Sulfur Dioxide (Lower Troposphere) ,OMPS_SO2_Lower_Troposphere,2km,50km,png,"Geographic, Web Mercator"
Suomi-NPP,OMPS,Sulfur Dioxide (Middle Troposphere) ,OMPS_SO2_Middle_Troposphere,2km,50km,png,"Geographic, Web Mercator"
Suomi-NPP,OMPS,Sulfur Dioxide (Upper Troposphere and Stratosphere) ,OMPS_SO2_Upper_Troposphere_and_Stratosphere,2km,50km,png,"Geographic, Web Mercator"
Aura,OMI,Sulfur Dioxide (Planetary Boundary Layer) ,OMI_SO2_Planetary_Boundary_Layer,2km,25km,png,"Geographic, Web Mercator"
Aura,OMI,Sulfur Dioxide (Lower Troposphere)  ,OMI_SO2_Lower_Troposphere,2km,25km,png,"Geographic, Web Mercator"
Aura,OMI,Sulfur Dioxide (Middle Troposphere)   ,OMI_SO2_Middle_Troposphere,2km,25km,png,"Geographic, Web Mercator"
Aura,OMI,Sulfur Dioxide (Upper Troposphere and Stratosphere)  ,OMI_SO2_Upper_Troposphere_and_Stratosphere,2km,25km,png,"Geographic, Web Mercator"
Aura,MLS,MLS_SO2_147hPa_Day,2km,5km,png,"Geographic, Web Mercator",
Aura,MLS,MLS_SO2_147hPa_Night,2km,5km,png,"Geographic, Web Mercator",
Aqua,AIRS,AIRS_Prata_SO2_Index_Day,2km,45km,png,"Geographic, Web Mercator",
Aqua,AIRS,AIRS_Prata_SO2_Index_Night,2km,45km,png,"Geographic, Web Mercator",
Aqua,AIRS,"Sulfur Dioxide Brightness Temperature Difference (L2, Day) ",AIRS_L2_Sulfur_Dioxide_Brightness_Temperature_Difference_Day,2km,45km,png,"Geographic, Web Mercator"
Aqua,AIRS,"Sulfur Dioxide Brightness Temperature Difference (L2, Night) ",AIRS_L2_Sulfur_Dioxide_Brightness_Temperature_Difference_Night,2km,45km,png,"Geographic, Web Mercator"
,MERRA-2,SO2 Column Mass Density ENSEMBLE (Monthly) ,MERRA2_SO2_Column_Mass_Density_Monthly,2km,,png,"Geographic, Web Mercator"
 Aqua,AIRS,"Temperature (L2, 500 hPa, Day)",AIRS_L2_Temperature_500hPa_Day, 2 km, 45 km, png,"Geographic, Web Mercator"
 Aqua,AIRS,"Temperature (L2, 500 hPa, Night) ",AIRS_L2_Temperature_500hPa_Night, 2 km, 45 km, png,"Geographic, Web Mercator"
 Aqua,AIRS,"Temperature (L2, 700 hPa, Day)",AIRS_L2_Temperature_700hPa_Day, 2 km, 45 km, png,"Geographic, Web Mercator"
 Aqua,AIRS,"Temperature (L2, 700 hPa, Night)",AIRS_L2_Temperature_700hPa_Night, 2 km, 45 km, png,"Geographic, Web Mercator"
 Aqua,AIRS,"Temperature (L2, 850 hPa, Day)",AIRS_L2_Temperature_850hPa_Day, 2 km, 45 km, png,"Geographic, Web Mercator"
 Aqua,AIRS,"Temperature (L2, 850 hPa, Night)",AIRS_L2_Temperature_850hPa_Night, 2 km, 45 km, png,"Geographic, Web Mercator"
Aura,MLS,MLS_Temperature_46hPa_Day,2km,5km,png,"Geographic, Web Mercator",
Aura,MLS,MLS_Temperature_46hPa_Night,2km,5km,png,"Geographic, Web Mercator",
,Daymet, Maximum Air Temperature (Daily) ,Daymet_Maximum_Air_Temp_Daily,1km,1km,png,"Geographic, Web Mercator"
,Daymet,Minimum Air Temperature (Daily) ,Daymet_Minimum_Air_Temp_Daily,1km,1km,png,Geographic. Web Mercator
,NLDAS,"Air Temperature (Monthly, Near Surface, Primary Forcing Data) ",NLDAS_Near_Surface_Air_Temperature_Primary_Monthly,2 km, 1/8th-degree ,png,"Geographic, Web Mercator"
,GLDAS,"Air Temperature (Monthly, Near Surface, Noah LSM) ", GLDAS_Near_Surface_Air_Temperature_Monthly ,2 km,1 degree,png,"Geographic, Web Mercator"
,MERRA-2,2-meter Air Temperature (Monthly) ,2 km,,png,"Geographic, Web Mercator",
,MERRA-2,"2-meter Air Temperature, Assimilated (Monthly) ",MERRA2_2m_Air_Temperature_Assimilated_Monthly,2 km,,png,"Geographic, Web Mercator"
,MERRA-2,Air Temperature at 250hPa (Monthly) ,2 km,,png,"Geographic, Web Mercator",
Aura,OMI,UV Erythemal Daily Dose (Local Noon),OMI_UV_Erythemal_Daily_Dose, 2 km,1.0 x 1.0 degrees, png,"Geographic, Web Mercator"
Aura,OMI,UV Erythemal Dose Rate (Local Noon),OMI_UV_Erythemal_Dose_Rate, 2 km,1.0 x 1.0 degrees, png,"Geographic, Web Mercator"
Aura,OMI,UV Index (Local Noon),OMI_UV_Index,2km, 1.0 x 1.0 degrees,png,"Geographic, Web Mercator"
Terra,MODIS,Water Vapor (Day)  ,MODIS_Terra_Water_Vapor_5km_Day,2km,1km,png,"Geographic, Web Mercator"
Terra,MODIS,Water Vapor (Night)  ,MODIS_Terra_Water_Vapor_5km_Night,2km,1km,png,"Geographic, Web Mercator"
Aqua,MODIS,Water Vapor (Day)   ,MODIS_Aqua_Water_Vapor_5km_Day,2km,1km,png,"Geographic, Web Mercator"
Aqua,MODIS,Water Vapor (Night)  ,MODIS_Aqua_Water_Vapor_5km_Night,2km,1km,png,"Geographic, Web Mercator"
Terra & Aqua,MODIS,MAIAC Columnar Water Vapor ,MODIS_Combined_MAIAC_L2G_AerosolOpticalDepth,1km,1km,png,"Geographic, Web Mercator"
Aura,MLS,MLS_H2O_46hPa_Day,2km,5km,png,"Geographic, Web Mercator",
Aura,MLS,MLS_H2O_46hPa_Night,2km,5km,png,"Geographic, Web Mercator",
GCOM-W1,AMSR2,AMSR2_Columnar_Water_Vapor_Day,2km,5km,png,"Geographic, Web Mercator",
GCOM-W1,AMSR2,AMSR2_Columnar_Water_Vapor_Night,2km,5km,png,"Geographic, Web Mercator",
GCOM-W1,AMSR2,Columnar Water Vapor (Day),AMSRU2_Columnar_Water_Vapor_Day,2km,5km,png,"Geographic, Web Mercator"
GCOM-W1,AMSR2,Columnar Water Vapor (Night),AMSRU2_Columnar_Water_Vapor_Night,2km,5km,png,"Geographic, Web Mercator"
DMSP-F8,SSMI,"Water Vapor over Oceans (Ascending, Local AM)   ",SSMI_DMSP_F8_Water_Vapor_Over_Oceans_Ascending,2km,0.25 degrees,png,Geographic
DMSP-F8,SSMI," Water Vapor over Oceans (Descending, Local PM)    ", SSMI_DMSP_F8_Water_Vapor_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F10,SSMI," Water Vapor over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F10_Water_Vapor_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F10,SSMI," Water Vapor over Oceans (Descending, Local AM)    ", SSMI_DMSP_F10_Water_Vapor_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F11,SSMI," Water Vapor over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F11_Water_Vapor_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F11,SSMI," Water Vapor over Oceans (Descending, Local AM)    ", SSMI_DMSP_F11_Water_Vapor_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F13,SSMI," Water Vapor over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F13_Water_Vapor_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F13,SSMI," Water Vapor over Oceans (Descending, Local AM)    ", SSMI_DMSP_F13_Water_Vapor_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F14,SSMI," Water Vapor over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F14_Water_Vapor_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F14,SSMI," Water Vapor over Oceans (Descending, Local AM)    ", SSMI_DMSP_F14_Water_Vapor_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F15,SSMI," Water Vapor over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F15_Water_Vapor_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F15,SSMI," Water Vapor over Oceans (Descending, Local AM)    ", SSMI_DMSP_F15_Water_Vapor_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F16,SSMIS," Water Vapor over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F16_Water_Vapor_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F16,SSMIS," Water Vapor over Oceans (Descending, Local AM)    ", SSMI_DMSP_F16_Water_Vapor_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F17,SSMIS," Water Vapor over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F17_Water_Vapor_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F17,SSMIS," Water Vapor over Oceans (Descending, Local AM)    ", SSMI_DMSP_F17_Water_Vapor_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
,MERRA-2,Total Precipitable Water Vapor (Monthly) ,2km,,png,"Geographic, Web Mercator",
GCOM-W1,AMSR2,AMSR2_Wind_Speed_Day,2km,5km,png,"Geographic, Web Mercator",
GCOM-W1,AMSR2,AMSR2_Wind_Speed_Night,2km,5km,png,"Geographic, Web Mercator",
